name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Pedialyte AdvancedCare Plus,$5.99,In stock,SKU#:66641e,"Pedialyte AdvancedCare® Plus electrolyte solution has 33% more electrolytes* in every liter to replace more of what you’ve lost due to dehydration
Has PreActiv® Prebiotics to help support digestive health
Pedialyte® electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids, zinc, and electrolytes
From the #1 pediatrician† and pharmacist recommended brand† for hydration
Great for kids and adults

Pedialyte AdvancedCare Plus electrolyte solution is our most advanced way to rehydrate quickly and replace lost fluids and electrolytes to feel better fast. Pedialyte AdvancedCare Plus is an electrolyte drink that offers 33% more electrolytes* and is formulated to replenish more of the electrolytes you may lose due to vomiting, diarrhea, or extreme perspiration caused by excessive heat or prolonged exercise. Pedialyte AdvancedCare Plus also has PreActiv Prebiotics to help promote a healthy digestive system.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
†Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte AdvancedCare Plus,$5.99,In stock,SKU#:67434e,"Pedialyte AdvancedCare® Plus electrolyte solution has 33% more electrolytes* in every liter to replace more of what you’ve lost due to dehydration
Has PreActiv® Prebiotics to help support digestive health
Pedialyte® electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids, zinc, and electrolytes
From the #1 pediatrician† and pharmacist recommended brand† for hydration
Great for kids and adults

Pedialyte AdvancedCare Plus electrolyte solution is our most advanced way to rehydrate quickly and replace lost fluids and electrolytes to feel better fast. Pedialyte AdvancedCare Plus is an electrolyte drink that offers 33% more electrolytes* and is formulated to replenish more of the electrolytes you may lose due to vomiting, diarrhea, or extreme perspiration caused by excessive heat or prolonged exercise. Pedialyte AdvancedCare Plus also has PreActiv Prebiotics to help promote a healthy digestive system.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
†Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte AdvancedCare,$5.49,In stock,SKU#:64301e,"DIGESTION SUPPORT: Has PreActiv® Prebiotics to help support digestive health.


REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors.

Pedialyte AdvancedCare® electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. It also has PreActiv Prebiotics to help promote digestive health by restoring the balance between good and bad bacteria. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte AdvancedCare is an electrolyte drink that promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte AdvancedCare,$5.49,In stock,SKU#:63057e,"DIGESTION SUPPORT: Has PreActiv® Prebiotics to help support digestive health.


REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors.

Pedialyte AdvancedCare® electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. It also has PreActiv Prebiotics to help promote digestive health by restoring the balance between good and bad bacteria. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte AdvancedCare is an electrolyte drink that promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte AdvancedCare,$5.49,In stock,SKU#:63059e,"DIGESTION SUPPORT: Has PreActiv® Prebiotics to help support digestive health.


REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors.

Pedialyte AdvancedCare® electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. It also has PreActiv Prebiotics to help promote digestive health by restoring the balance between good and bad bacteria. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte AdvancedCare is an electrolyte drink that promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte AdvancedCare Plus Powder Packs,$11.99,In stock,SKU#:66972p6,"MORE ELECTROLYTES: Pedialyte AdvancedCare® Plus powder packets have 33% more electrolytes* in every serving to replace more of what you’ve lost due to dehydration
CONVENIENT: It’s easy to take powder packs anywhere–just add to water. Great for kids and adults
PREBIOTICS: Has PreActiv® Prebiotics to help support digestive health
ADVANCED REHYDRATION: Pedialyte electrolyte solutions help prevent mild to moderate dehydration more effectively than common beverages by quickly replenishing fluids and electrolytes
RECOMMENDED: From the #1 pediatrician† and pharmacist recommended brand† for hydration 

Pedialyte AdvancedCare Plus Electrolyte Solution offers 33% more electrolytes* to help prevent dehydration and help you feel better fast. From the #1 pharmacist and pediatrician recommended brand for hydration, Pedialyte AdvancedCare Plus has PreActiv Prebiotics to help support digestive health and is designed to help prevent mild to moderate dehydration in children and adults more effectively than common beverages.
*60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte.
†Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",oz, 6 Pack                ,0.6,0.6
Pedialyte,$5.49,In stock,SKU#:51752e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte,$5.49,In stock,SKU#:00240e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte,$5.49,In stock,SKU#:53983e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte,$5.49,In stock,SKU#:00336e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte,$5.49,In stock,SKU#:00365e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte,$5.49,In stock,SKU#:67461e,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast. 


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte® provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. It’s medical-grade hydration. 


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink. 


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 18 refreshing flavors. 


POUR & HYDRATE: Tastes best served chilled. To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day. 

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte! 
*Among pediatricians and pharmacists surveyed, respectively (2019). Data on file with manufacturer.
",,,,
Pedialyte Sparkling Rush Powder Packs,$11.99,In stock,SKU#:67220p6,"ELECTROLYTES FOR REHYDRATION: A convenient electrolyte powder packet that offers the same electrolyte rehydration benefits as Pedialyte—now with a refreshing fizz 


NO ARTIFICIAL COLORS: Pedialyte Sparkling Rush electrolyte powder is a delicious, clear rehydration drink to replace fluids and electrolytes, without any artificial colors 


TWICE THE ELECTROLYTES: Pedialyte has two times the electrolytes and less than HALF THE SUGAR of leading sports drinks.* (*Each Pedialyte product has at least 1030mg sodium and no more than 25g sugar per liter; leading sports drinks have ~460 sodium and ~58g sugar per liter.) It provides an optimal balance of sugar and electrolytes to prevent moderate dehydration. It’s medical-grade hydration in a sparkling electrolyte powder 


GREAT TASTING FLAVORS: Pedialyte Sparkling Rush comes in delicious Grape and Cherry effervescent flavors 


ADD TO COLD WATER AND ENJOY: To avoid overflow, take 2 sips from a 16-fl-oz bottle of cold water and slowly add one powder pack of Pedialyte Sparkling Rush. Do not shake or immediately cap the bottle. Wait 10 seconds and rehydrate 

Pedialyte Sparkling Rush electrolyte powder packs are a convenient, advanced hydration solution with a refreshing fizz. This listing includes 6 boxes of 6 packets each, for a total of 36 packets, making 17 liters. Pedialyte electrolyte powder is specially formulated with the optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 doctor recommended brand,† Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte is designed to promote fluid absorption more effectively than other common beverages. Feel better fast with Pedialyte!
†Based on a third-party survey of physicians in the US, 2018. Data on file with the manufacturer.
",oz, 6 Pack                ,0.6,0.6
Pedialyte Sparkling Rush Powder Packs,$71.94,In stock,SKU#:67225,"ELECTROLYTES FOR REHYDRATION: A convenient electrolyte powder packet that offers the same electrolyte rehydration benefits as Pedialyte—now with a refreshing fizz 


NO ARTIFICIAL COLORS: Pedialyte Sparkling Rush electrolyte powder is a delicious, clear rehydration drink to replace fluids and electrolytes, without any artificial colors 


TWICE THE ELECTROLYTES: Pedialyte has two times the electrolytes and less than HALF THE SUGAR of leading sports drinks.* (*Each Pedialyte product has at least 1030mg sodium and no more than 25g sugar per liter; leading sports drinks have ~460 sodium and ~58g sugar per liter.) It provides an optimal balance of sugar and electrolytes to prevent moderate dehydration. It’s medical-grade hydration in a sparkling electrolyte powder 


GREAT TASTING FLAVORS: Pedialyte Sparkling Rush comes in delicious Grape and Cherry effervescent flavors 


ADD TO COLD WATER AND ENJOY: To avoid overflow, take 2 sips from a 16-fl-oz bottle of cold water and slowly add one powder pack of Pedialyte Sparkling Rush. Do not shake or immediately cap the bottle. Wait 10 seconds and rehydrate 

Pedialyte Sparkling Rush electrolyte powder packs are a convenient, advanced hydration solution with a refreshing fizz. This listing includes 6 boxes of 6 packets each, for a total of 36 packets, making 17 liters. Pedialyte electrolyte powder is specially formulated with the optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 doctor recommended brand,† Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte is designed to promote fluid absorption more effectively than other common beverages. Feel better fast with Pedialyte!
†Based on a third-party survey of physicians in the US, 2018. Data on file with the manufacturer.
",oz, 6-6 Packs                ,0.6,0.6
Pedialyte Sparkling Rush Powder Packs,$71.94,In stock,SKU#:67220,"ELECTROLYTES FOR REHYDRATION: A convenient electrolyte powder packet that offers the same electrolyte rehydration benefits as Pedialyte—now with a refreshing fizz 


NO ARTIFICIAL COLORS: Pedialyte Sparkling Rush electrolyte powder is a delicious, clear rehydration drink to replace fluids and electrolytes, without any artificial colors 


TWICE THE ELECTROLYTES: Pedialyte has two times the electrolytes and less than HALF THE SUGAR of leading sports drinks.* (*Each Pedialyte product has at least 1030mg sodium and no more than 25g sugar per liter; leading sports drinks have ~460 sodium and ~58g sugar per liter.) It provides an optimal balance of sugar and electrolytes to prevent moderate dehydration. It’s medical-grade hydration in a sparkling electrolyte powder 


GREAT TASTING FLAVORS: Pedialyte Sparkling Rush comes in delicious Grape and Cherry effervescent flavors 


ADD TO COLD WATER AND ENJOY: To avoid overflow, take 2 sips from a 16-fl-oz bottle of cold water and slowly add one powder pack of Pedialyte Sparkling Rush. Do not shake or immediately cap the bottle. Wait 10 seconds and rehydrate 

Pedialyte Sparkling Rush electrolyte powder packs are a convenient, advanced hydration solution with a refreshing fizz. This listing includes 6 boxes of 6 packets each, for a total of 36 packets, making 17 liters. Pedialyte electrolyte powder is specially formulated with the optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 doctor recommended brand,† Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte is designed to promote fluid absorption more effectively than other common beverages. Feel better fast with Pedialyte!
†Based on a third-party survey of physicians in the US, 2018. Data on file with the manufacturer.
",oz, 6-6 Packs                ,0.6,0.6
Pedialyte Sparkling Rush Powder Packs,$11.99,In stock,SKU#:67225p6,"ELECTROLYTES FOR REHYDRATION: A convenient electrolyte powder packet that offers the same electrolyte rehydration benefits as Pedialyte—now with a refreshing fizz 


NO ARTIFICIAL COLORS: Pedialyte Sparkling Rush electrolyte powder is a delicious, clear rehydration drink to replace fluids and electrolytes, without any artificial colors 


TWICE THE ELECTROLYTES: Pedialyte has two times the electrolytes and less than HALF THE SUGAR of leading sports drinks.* (*Each Pedialyte product has at least 1030mg sodium and no more than 25g sugar per liter; leading sports drinks have ~460 sodium and ~58g sugar per liter.) It provides an optimal balance of sugar and electrolytes to prevent moderate dehydration. It’s medical-grade hydration in a sparkling electrolyte powder 


GREAT TASTING FLAVORS: Pedialyte Sparkling Rush comes in delicious Grape and Cherry effervescent flavors 


ADD TO COLD WATER AND ENJOY: To avoid overflow, take 2 sips from a 16-fl-oz bottle of cold water and slowly add one powder pack of Pedialyte Sparkling Rush. Do not shake or immediately cap the bottle. Wait 10 seconds and rehydrate 

Pedialyte Sparkling Rush electrolyte powder packs are a convenient, advanced hydration solution with a refreshing fizz. This listing includes 6 boxes of 6 packets each, for a total of 36 packets, making 17 liters. Pedialyte electrolyte powder is specially formulated with the optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 doctor recommended brand,† Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte is designed to promote fluid absorption more effectively than other common beverages. Feel better fast with Pedialyte!
†Based on a third-party survey of physicians in the US, 2018. Data on file with the manufacturer.
",oz, 6 Pack                ,0.6,0.6
Nepro with CARBSTEADY Shake,$92.00,In stock,SKU#:62585,"NUTRITION FOR PEOPLE ON DIALYSIS: Nepro can help you replenish protein and other nutrients lost due to dialysis
SPECIALLY DESIGNED: To improve the nutritional well-being1 of people on dialysis
HIGH PROTEIN & CALORIES: 19g of protein and 420 nutritious calories; low in potassium and phosphorus for patients with kidney disease
GREAT-TASTING RECIPES: Enjoy 3 great flavors of Nepro shakes or use it in our tasty recipes for nutrients during dialysis

Nepro nutrition shakes are specially designed to help meet the nutrition needs of people on dialysis. One serving has 19 grams of protein and 420 nutritious calories to help replenish nutrients lost due to dialysis. It's low in potassium and phosphorus for patients with kidney disease. It tastes great cold and comes in three delicious flavors—Homemade Vanilla, Butter Pecan, and Mixed Berry.
Reference: 1. Caglar K, et al. Kidney Int. 2002;62(3):1054-1059.
",bottle, Case of 24                ,8,oz
Nepro with CARBSTEADY Shake,$92.00,In stock,SKU#:64798,"NUTRITION FOR PEOPLE ON DIALYSIS: Nepro can help you replenish protein and other nutrients lost due to dialysis
SPECIALLY DESIGNED: To improve the nutritional well-being1 of people on dialysis
HIGH PROTEIN & CALORIES: 19g of protein and 420 nutritious calories; low in potassium and phosphorus for patients with kidney disease
GREAT-TASTING RECIPES: Enjoy 3 great flavors of Nepro shakes or use it in our tasty recipes for nutrients during dialysis

Nepro nutrition shakes are specially designed to help meet the nutrition needs of people on dialysis. One serving has 19 grams of protein and 420 nutritious calories to help replenish nutrients lost due to dialysis. It's low in potassium and phosphorus for patients with kidney disease. It tastes great cold and comes in three delicious flavors—Homemade Vanilla, Butter Pecan, and Mixed Berry.
Reference: 1. Caglar K, et al. Kidney Int. 2002;62(3):1054-1059.
",Tetra, Case of 24                ,8,oz
Nepro with CARBSTEADY Shake,$92.00,In stock,SKU#:64796,"NUTRITION FOR PEOPLE ON DIALYSIS: Nepro can help you replenish protein and other nutrients lost due to dialysis
SPECIALLY DESIGNED: To improve the nutritional well-being1 of people on dialysis
HIGH PROTEIN & CALORIES: 19g of protein and 420 nutritious calories; low in potassium and phosphorus for patients with kidney disease
GREAT-TASTING RECIPES: Enjoy 3 great flavors of Nepro shakes or use it in our tasty recipes for nutrients during dialysis

Nepro nutrition shakes are specially designed to help meet the nutrition needs of people on dialysis. One serving has 19 grams of protein and 420 nutritious calories to help replenish nutrients lost due to dialysis. It's low in potassium and phosphorus for patients with kidney disease. It tastes great cold and comes in three delicious flavors—Homemade Vanilla, Butter Pecan, and Mixed Berry.
Reference: 1. Caglar K, et al. Kidney Int. 2002;62(3):1054-1059.
",Tetra, Case of 24                ,8,oz
Glucerna Hunger Smart Shake,$19.98,In stock,SKU#:62882,"HELP MANAGE BLOOD SUGAR*: Glucerna Hunger Smart® shakes are designed to help manage hunger and they have CARBSTEADY®, unique blends of slow-release carbohydrates, to help minimize blood sugar spikes
DELICIOUS TASTE TO HELP CURB CRAVINGS: Making a smart choice can still be delicious with Glucerna Hunger Smart nutritional shakes
LISTEN TO THE PROFESSIONALS: Glucerna® is the #1 doctor-recommended brand for people with diabetes
RICH, DELICIOUS FLAVORS: Glucerna shakes come in 3 amazing flavors you’ll love: Rich Chocolate, Homemade Vanilla, and Creamy Strawberry
NUTRIENTS YOU NEED: Each bottle contains 15 grams of protein, 180 calories, 1 carb choice, and up to 6 grams of fiber.† Glucerna Hunger Smart shakes are suitable for lactose intolerance and are gluten-free (not for people with galactosemia)

Glucerna Hunger Smart shakes are delicious grab-and-go meal or snack replacements to help manage blood sugar* AND hunger. Specifically designed for people managing their blood sugar, each shake has 15 grams of protein to help manage hunger and CARBSTEADY, a unique blend of slow-release carbohydrates, to help manage blood sugar.* They are suitable for lactose intolerance and gluten-free. The shakes also have 25 essential vitamins and minerals, 1 carb choice, and up to 6 grams of fiber.† Glucerna is the #1 brand recommended by doctors for people with diabetes.
*Designed to help minimize blood sugar spikes compared to high-glycemic carbohydrates.
†Dietary fiber: Homemade Vanilla and Creamy Strawberry = 4 g, Rich Chocolate = 6 g, per 10 fl oz.
",bottle, Case of 12                 ,10,oz
Glucerna Hunger Smart Shake,$19.98,In stock,SKU#:62885,"HELP MANAGE BLOOD SUGAR*: Glucerna Hunger Smart® shakes are designed to help manage hunger and they have CARBSTEADY®, unique blends of slow-release carbohydrates, to help minimize blood sugar spikes
DELICIOUS TASTE TO HELP CURB CRAVINGS: Making a smart choice can still be delicious with Glucerna Hunger Smart nutritional shakes
LISTEN TO THE PROFESSIONALS: Glucerna® is the #1 doctor-recommended brand for people with diabetes
RICH, DELICIOUS FLAVORS: Glucerna shakes come in 3 amazing flavors you’ll love: Rich Chocolate, Homemade Vanilla, and Creamy Strawberry
NUTRIENTS YOU NEED: Each bottle contains 15 grams of protein, 180 calories, 1 carb choice, and up to 6 grams of fiber.† Glucerna Hunger Smart shakes are suitable for lactose intolerance and are gluten-free (not for people with galactosemia)

Glucerna Hunger Smart shakes are delicious grab-and-go meal or snack replacements to help manage blood sugar* AND hunger. Specifically designed for people managing their blood sugar, each shake has 15 grams of protein to help manage hunger and CARBSTEADY, a unique blend of slow-release carbohydrates, to help manage blood sugar.* They are suitable for lactose intolerance and gluten-free. The shakes also have 25 essential vitamins and minerals, 1 carb choice, and up to 6 grams of fiber.† Glucerna is the #1 brand recommended by doctors for people with diabetes.
*Designed to help minimize blood sugar spikes compared to high-glycemic carbohydrates.
†Dietary fiber: Homemade Vanilla and Creamy Strawberry = 4 g, Rich Chocolate = 6 g, per 10 fl oz.
",bottle, Case of 12                 ,10,oz
Glucerna Hunger Smart Shake,$19.98,In stock,SKU#:66534,"HELP MANAGE BLOOD SUGAR*: Glucerna Hunger Smart® shakes are designed to help manage hunger and they have CARBSTEADY®, unique blends of slow-release carbohydrates, to help minimize blood sugar spikes
DELICIOUS TASTE TO HELP CURB CRAVINGS: Making a smart choice can still be delicious with Glucerna Hunger Smart nutritional shakes
LISTEN TO THE PROFESSIONALS: Glucerna® is the #1 doctor-recommended brand for people with diabetes
RICH, DELICIOUS FLAVORS: Glucerna shakes come in 3 amazing flavors you’ll love: Rich Chocolate, Homemade Vanilla, and Creamy Strawberry
NUTRIENTS YOU NEED: Each bottle contains 15 grams of protein, 180 calories, 1 carb choice, and up to 6 grams of fiber.† Glucerna Hunger Smart shakes are suitable for lactose intolerance and are gluten-free (not for people with galactosemia)

Glucerna Hunger Smart shakes are delicious grab-and-go meal or snack replacements to help manage blood sugar* AND hunger. Specifically designed for people managing their blood sugar, each shake has 15 grams of protein to help manage hunger and CARBSTEADY, a unique blend of slow-release carbohydrates, to help manage blood sugar.* They are suitable for lactose intolerance and gluten-free. The shakes also have 25 essential vitamins and minerals, 1 carb choice, and up to 6 grams of fiber.† Glucerna is the #1 brand recommended by doctors for people with diabetes.
*Designed to help minimize blood sugar spikes compared to high-glycemic carbohydrates.
†Dietary fiber: Homemade Vanilla and Creamy Strawberry = 4 g, Rich Chocolate = 6 g, per 10 fl oz.
",bottle, Case of 12                 ,10,oz
